Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
A Short History of Nearly Everything,9545,2004,1,4.21,076790818X
In a Sunburned Country,4298,2001,1,4.07,0767903862
The Lost Continent: Travels in Small Town America,2276,1990,1,3.83,0060920084
Neither Here nor There: Travels in Europe,2264,1993,1,3.86,0380713802
Notes from a Small Island,3335,1997,1,3.92,0380727501
The Mother Tongue: English and How It Got That Way,2123,1991,1,3.93,0380715430
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1548,2012,1,4.6,0345538374
The Lord of the Rings: Weapons and Warfare,45,2003,1,4.53,0618391002
The Lord of the Rings: Complete Visual Companion,6,2004,1,4.5,0618510826
The Lord of the Rings Box Set,19,2001,1,4.5,0618153977
Agile Web Development with Rails: A Pragmatic Guide,59,2005,1,3.84,097669400X
Ruby Quickly: Ruby and Rails for the Real World,0,2006,2,3.4,1932394745
Guts: The True Stories behind Hatchet and the Brian Books,336,2001,1,3.88,0385326505
Molly Hatchet - 5 of the Best,0,2003,1,4.33,1575606240
Hatchet Jobs: Writings on Contemporary Fiction,16,2005,1,3.46,1595580271
The Woodsman and His Hatchet: Eighty Years on Back Country Survival,0,1996,2,3.6,0912299622
The Changeling Sea,306,2003,1,4.06,0141312629
The Changeling,97,2004,1,4.17,0595321801
The Known World,2632,2006,1,3.83,0061159174
Artesia: Adventures in the Known World,4,2005,1,4.13,1932386106
Uncommon Carriers,203,2006,1,3.95,0374280398
The Heidi Chronicles,70,2002,1,3.75,0822205106
Simply Beautiful Beaded Jewelry,4,2006,1,3.77,1581807740
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,2,1997,1,3.66,0871202867
Getting Results with Curriculum Mapping,5,2004,1,3.25,0871209993
What to Expect the First Year (What to Expect),663,2003,1,3.89,0761129588
Simply Beautiful Beading: 53 Quick and Easy Projects,4,2004,1,3.7800000000000002,1581805632
Seven-Year Seduction,6,2006,2,3.61,0373767099
Dreamer of Dune: The Biography of Frank Herbert,21,2004,1,4.01,0765306476
The Road to Dune,83,2006,1,3.88,0765353709
The Lord of the Rings: The Art of the Fellowship of the Ring,102,2002,1,4.6,0618212906
The Patriarch: The Rise and Fall of the Bingham Dynasty,1,1993,2,3.67,0671797077
The Power of One: Daisy Bates and the Little Rock Nine,7,2004,2,4.41,061831556X
The Power of One Christlike Life,3,2000,2,4.22,0883686287
Power of an Hour: Business and Life Mastery in One Hour a Week,16,2006,1,3.34,0471780936
eBay for Dummies,9,2006,1,3.51,0470045299
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,0,2006,1,3.62,0072262788
Starting an eBay Business for Dummies,4,2004,1,3.55,0764569244
eBay: Top 100 Simplified Tips & Tricks,0,2006,1,4.27,0471933821
ebay Timesaving Techniques for Dummies,1,2004,1,3.39,0764559915
eBay Business All-in-One Desk Reference for Dummies,3,2005,1,3.89,0764584383
The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,0,2000,2,3.75,184215298X
Anna Karenina,1873,2004,1,4.05,0143035002
Dinner with Anna Karenina,65,2006,1,2.98,0778322270
Tolstoy: Anna Karenina,33,1987,1,4.19,0521313252
Untouchable,286,1990,1,3.7199999999999998,0140183957
The Untouchable,218,1998,1,3.95,0679767479
The Untouchables,31,1996,1,3.89,1568491980
Dalit: The Black Untaouchables of India,0,1995,1,4.2,0932863051
Growing Up Untouchable in India: A Dalit Autobiography,4,2000,1,3.65,0742508803
The Book of Evidence,2,2003,2,3.83,0195171713
The Evidence-Based Social Work Skills Book,0,2003,1,3.4,0205358624
Wrinkles in Time,23,1994,1,4.01,0380720442
Literature Circle Guide: A Wrinkle in Time,0,2002,1,3.6,043927169X
Empress in the Wrinkle of Time: The Knight-King Chronicle,0,2000,2,4.25,0738817538
A Wrinkle in Time: L-I-T Guide,3,1997,2,3.91,1566440114
A Wrinkle in Time: Teacher Guide,0,1998,2,4.14,1561371181
Long Way Round: Chasing Shadows Across the World,44,2005,1,3.95,0743499344
Sideswipe: A Hoke Moseley Novel,72,2005,1,4.04,1400032482
The Way We Die Now,62,2005,2,4.06,1400032504
The Woman Chaser,51,1960,2,3.93,1842430017
Wild Wives,44,2009,2,3.68,1400032474
The Shark-Infested Custard,58,2005,2,3.8200000000000003,1400032512
Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,0,2001,2,4.14,0896724409
Cockfighter,62,2005,2,4.11,1596542225
The Burnt Orange Heresy (Vintage Crime/Black Lizard),11,1990,1,3.89,0679732527
I am Charlotte Simmons,1696,2005,1,3.42,0312424442
The Complete Verse and Other Nonsense,27,2002,2,4.18,0142002275
The Complete Nonsense of Edward Lear,39,1940,2,4.03,089190090X
Poetry for Young People: Edward Lear,19,2001,1,3.91,0806930772
An Edward Lear Alphabet,9,1999,2,3.42,0060281138
A Was Once an Apple Pie,67,2005,2,3.41,0439660564
The Owl and the Pussycat,9,1996,2,4.19,0698113675
The Puffin Book of Nonsense Verse,6,1996,1,4.0,0140366601
Henry Miller on Writing,52,1964,1,4.23,0811201120
The Colossus of Maroussi,204,1975,2,3.98,0811201090
Quiet Days in Clichy,143,1994,1,3.69,080213016X
Big Sur and the Oranges of Hieronymus Bosch,142,1957,2,4.02,0811201074
Tropic of Cancer,2405,1994,1,3.68,0802131786
Tropic of Capricorn,463,1994,1,3.7800000000000002,0802151825
The Air-Conditioned Nightmare,143,1970,1,3.83,0811201066
The Time of the Assassins:  a Study of Rimbaud,54,1962,2,3.95,0811201155
Public Places-Urban Spaces: The Dimensions of Urban Design,7,2003,2,4.1,0750636327
Behavior in Public Places,7,1966,2,4.1,0029119405
Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,1,2004,2,3.42,1592284159
Together Alone: Personal Relationships in Public Places,1,2005,2,3.67,0520245237
Squares: A Public Place Design Guide for Urbanists,0,2006,2,3.7800000000000002,0826330045
Just in Time! Pastoral Prayers in Public Places,0,2006,2,3.8,0687495679
Pike Place Public Market Seafood Cookbook,2,2005,2,3.83,1580086802
Art for Public Places: Critical Essays,1,1989,2,4.25,0950678384
The Portrait of a Lady,1994,2003,1,3.7800000000000002,0141439637
Writing,49,1999,1,3.74,1571290532
The War,66,1994,1,3.85,1565842219
Craniosacral Therapy II: Beyond the Dura,1,1990,2,4.35,093961605X
The Ravishing of Lol Stein,131,1986,1,3.66,0394743040
A Treasury of Kahlil Gibran,10,1976,2,4.43,0806504102
Love Letters,8,1999,1,3.7,1851681825
The Prophet,51,1995,2,4.23,0679440674
Kahlil Gibran: His Life and World,2,1998,1,4.21,156656249X
The Beloved: Reflections on the Path of the Heart,16,1998,1,4.19,014019553X
Jesus the Son of Man,83,1995,1,3.98,0394431243
The Broken Wings,528,2003,1,3.92,0806501901
Sand and Foam,218,2011,1,4.08,067943920X
Treasure Island,6859,2001,1,3.83,0753453800
